,isomorphic_hash,number_of_nodes,number_of_edges,is_strongly_connected,is_prime,adj_,DiGraph
0,0306b3f79b7f53f12e3db81ca6fcb8e5,5,20,True,False,"{0: [3, 4, 1, 2], 1: [0, 2, 3, 4], 2: [0, 1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [3, 4, 1, 2]
1: [0, 2, 3, 4]
2: [0, 1, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
1,1aae369428483151e4202f574df4f696,5,19,True,False,"{0: [1, 3, 4], 1: [0, 2, 3, 4], 2: [0, 1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1, 3, 4]
1: [0, 2, 3, 4]
2: [0, 1, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
2,7616d0e4e7eeb17dd47ebdff62b6f99a,5,18,True,False,"{0: [1, 3], 1: [0, 2, 3, 4], 2: [0, 1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1, 3]
1: [0, 2, 3, 4]
2: [0, 1, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
3,dfc0f0fb25cfaff6717067942c77880f,5,17,True,False,"{0: [1], 1: [3, 4, 0, 2], 2: [0, 1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3, 4, 0, 2]
2: [0, 1, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
4,730c9ab7d8ab5bef0c6ff07a6a6905d0,5,16,True,False,"{0: [1], 1: [0, 3, 4], 2: [0, 1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [0, 3, 4]
2: [0, 1, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
5,92c1c23c34350f940c30fcce4759fd03,5,15,True,False,"{0: [1], 1: [3, 0], 2: [0, 1, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3, 0]
2: [0, 1, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
6,a4d50393e1e4c29302d98a7569e0e430,5,14,True,False,"{0: [1], 1: [3], 2: [3, 4, 0, 1], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [3, 4, 0, 1]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
7,dc96bff46f5d5ee6d294bcf52885138c,5,13,True,False,"{0: [1], 1: [3], 2: [0, 3, 4], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0, 3, 4]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
8,05bc34dbcdac950e35fd3f11b1fef71f,5,12,True,False,"{0: [1], 1: [3], 2: [0, 3], 3: [0, 1, 2, 4], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0, 3]
3: [0, 1, 2, 4]
4: [0, 1, 2, 3]
"
9,425d75e84f4962acefa6c1ff00772510,5,11,True,False,"{0: [1], 1: [3], 2: [0], 3: [2, 4, 0, 1], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [2, 4, 0, 1]
4: [0, 1, 2, 3]
"
10,13e1a0887b598babac20cf711e662b57,5,10,True,False,"{0: [1], 1: [3], 2: [0], 3: [2, 4, 0], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [2, 4, 0]
4: [0, 1, 2, 3]
"
11,c2f3787495147bc3b0d89ff3f30f0ef6,5,9,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [0, 1, 2, 3]
"
12,9cdeaf7f3510ecbff5953f98e290f2f1,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [2, 3, 0, 1]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [2, 3, 0, 1]
"
13,13d48965d5f599579b5016d26f04819f,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [2, 3, 0]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [2, 3, 0]
"
14,f22cf06d00bf3ce40bf0f700e3bb39af,5,6,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [2, 3]
"
15,366f04f3389393368a3dd4d63eb2d47a,5,5,True,True,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [2]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [2]
"
16,1f90e4b88733efb575b1c42c9f34bacb,5,6,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [2, 0]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [2, 0]
"
17,34c5f2fcd87c2d499877f4f28e97a047,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [1, 2, 0]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [1, 2, 0]
"
18,6eab9af70f2ecaba1207e2eaa678b1cb,5,6,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [2, 1]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [2, 1]
"
19,275aba4c350c3de58ac6892dfa128f7e,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4], 4: [1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4]
4: [1, 2, 3]
"
20,b2edba92398ae623a800c444c49d246d,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [1, 2, 3]
"
21,7752a0735a33c93457a460323e1c3f1f,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [2, 3]
"
22,9119c33356fb770f9dd1c6062333537f,5,6,True,True,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [3]
"
23,19f8bcd1ab883267502d6681e8d2a248,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [1, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [1, 3]
"
24,0ce90dc884ece5e5a21fd15c49ffe0d6,5,6,True,True,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [1]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [1]
"
25,85076c07c17af8a9d8cddf094716458e,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [1, 2]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [1, 2]
"
26,018ab022350f07cc8062b382ff6cafeb,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [0, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [0, 2, 3]
"
27,650417166340b10fb399a33f615794c3,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [0, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [0, 3]
"
28,570d3117a6c412cd4aeb4b68264c4691,5,6,True,True,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [0]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [0]
"
29,647bc8de7c1df6ba71cfb45870299f37,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [0, 2]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [0, 2]
"
30,aba3ee8d112620dce6bb76cb65996246,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [3, 0, 1]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [3, 0, 1]
"
31,ca6e0f7ce34098025a178ad130c792dc,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [1, 0]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [1, 0]
"
32,b2d8a3e124c64ac5b0b8bf0b8b86492c,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 2], 4: [0, 1, 2]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 2]
4: [0, 1, 2]
"
33,3c97e93b308b0fcba9aaae8e68e56502,5,9,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 0], 4: [0, 1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 0]
4: [0, 1, 2, 3]
"
34,7d355a9edd7e975b4bb0f505ec4561ba,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 0], 4: [1, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 0]
4: [1, 2, 3]
"
35,6236459060b69340350ea081fb7211cc,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 0], 4: [2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 0]
4: [2, 3]
"
36,2c7fdbd536657804a0ee1e4d25443c3f,5,7,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 0], 4: [1, 2]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 0]
4: [1, 2]
"
37,f5edc3c60fdda3cbbb088f2ea9bd327c,5,8,True,False,"{0: [1], 1: [3], 2: [0], 3: [4, 0], 4: [0, 2, 3]}","Printing the out edges chart for 
0: [1]
1: [3]
2: [0]
3: [4, 0]
4: [0, 2, 3]
"
