,isomorphic_hash,number_of_nodes,number_of_edges,is_strongly_connected,is_prime,adj_,DiGraph
27,e7e5c1288538d41d1f854db9a5c22532,4,6,True,False,"{0: [3], 1: [0], 2: [1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [1, 3]
3: [0, 2]
"
28,01430f709e5d1b39240d50d432daaf34,4,7,True,False,"{0: [3], 1: [0], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [0, 1, 3]
3: [1, 2]
"
29,2c1d8e26321e030b558aac7ba6fde097,4,7,True,False,"{0: [3], 1: [0], 2: [1, 3, 0], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [0]
2: [1, 3, 0]
3: [0, 2]
"
30,510735167c5d398f7498ce9ac4b82049,4,8,True,False,"{0: [3], 1: [0, 3], 2: [1, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [1, 3]
3: [0, 1, 2]
"
31,3d548c844c9dbf7dfee68d085d766a29,4,7,True,False,"{0: [3], 1: [3, 0], 2: [1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0]
2: [1]
3: [0, 1, 2]
"
32,cf933529dc8f001829750bb25c50ec14,4,6,True,False,"{0: [3], 1: [0, 3], 2: [1], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [1]
3: [1, 2]
"
33,c9e5f7f832dd6e51b45575e987c66a31,4,6,True,False,"{0: [3], 1: [0, 3], 2: [1], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [1]
3: [0, 2]
"
34,65de4a60fc0e4c488e99a446bde7b7a7,4,7,True,False,"{0: [3], 1: [0, 3], 2: [1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [1, 3]
3: [1, 2]
"
35,ff296cff2e6143a59c3c2bd95b663fcd,4,7,True,False,"{0: [3], 1: [3, 0], 2: [1, 3], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0]
2: [1, 3]
3: [0, 2]
"
36,ccb3df374624f330b8d102c42a8ab5da,4,8,True,False,"{0: [3], 1: [0, 3], 2: [0, 3], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [0, 3]
3: [0, 1, 2]
"
37,be8b6332b705f087aafaac99522d067a,4,7,True,False,"{0: [3], 1: [3, 0], 2: [0, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0]
2: [0, 3]
3: [1, 2]
"
38,50293bc3dc88001b7ec42efebd542007,4,8,True,False,"{0: [3], 1: [0, 3], 2: [0, 1], 3: [0, 1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [0, 1]
3: [0, 1, 2]
"
39,596780be72569888dffec2c993db1bbf,4,7,True,False,"{0: [3], 1: [3, 0], 2: [0, 1], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0]
2: [0, 1]
3: [1, 2]
"
40,7da6843742a27702c984b0ec2ac7a9ec,4,7,True,False,"{0: [3], 1: [3, 0], 2: [0, 1], 3: [0, 2]}","Printing the out edges chart for 
0: [3]
1: [3, 0]
2: [0, 1]
3: [0, 2]
"
41,dd911e966ef43c1b4aac8b21896be680,4,8,True,False,"{0: [3], 1: [0, 3], 2: [0, 1, 3], 3: [1, 2]}","Printing the out edges chart for 
0: [3]
1: [0, 3]
2: [0, 1, 3]
3: [1, 2]
"
