,isomorphic_hash,number_of_nodes,number_of_edges,is_strongly_connected,is_prime,adj_,DiGraph
0,c9dbb9daa8f3cb005a2a838cf4bcb07f,3,6,True,False,"{0: [2, 1], 1: [0, 2], 2: [0, 1]}","Printing the out edges chart for 
0: [2, 1]
1: [0, 2]
2: [0, 1]
"
1,d1f535c0549d8d0b8ad543e4c612cc0b,3,5,True,False,"{0: [1], 1: [2, 0], 2: [0, 1]}","Printing the out edges chart for 
0: [1]
1: [2, 0]
2: [0, 1]
"
2,92d774f4f1297fdff142abaa3cb3f397,3,4,True,False,"{0: [1], 1: [2], 2: [0, 1]}","Printing the out edges chart for 
0: [1]
1: [2]
2: [0, 1]
"
3,586045d6a31cba8e87894e14408c6c05,3,3,True,True,"{0: [1], 1: [2], 2: [0]}","Printing the out edges chart for 
0: [1]
1: [2]
2: [0]
"
4,cc79930bcf1ec4d0d10fa36211a17487,3,4,True,True,"{0: [1], 1: [2, 0], 2: [1]}","Printing the out edges chart for 
0: [1]
1: [2, 0]
2: [1]
"
